Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
IN RE TS TECH USA,2009-M888,2008-12-29,completed,,https://storage.courtlistener.com/pdf/2008/12/29/In_Re_Ts_Tech_USA.pdf,0,6
"SUNDANCE, INC. V. DEMONTE FABRICATING, LTD.",2008-1068,2008-12-24,completed,,https://cafc.uscourts.gov/opinions-orders/08-1068.pdf,20,10
GINGERY V. DEPT. OF DEFENSE,2007-3292,2008-12-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-3292.pdf,17,9
"HYATT V. DIRECTOR, PATENT AND TRADEMARK OFFICE",2007-1050,2008-12-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-1050c.pdf,13,7
"RICOH COMPANY, LTD. V. QUANTA COMPUTER INC.",2007-1567,2008-12-23,completed,,https://cafc.uscourts.gov/opinions-orders/07-1567.pdf,42,21
"TAMERLANE, LTD. V. U.S.",2008-5071,2008-12-22,completed,,https://cafc.uscourts.gov/opinions-orders/08-5071.pdf,22,11
"AMERICAN AIRLINES, INC. V. U.S.",2007-5174,2008-12-22,completed,,https://cafc.uscourts.gov/opinions-orders/07-5174.pdf,23,12
RENTROP V. THE SPECTRANETICS CORP.,2007-1560,2008-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/07-1560.pdf,14,7
FLORIDA CITRUS MUTUAL V. U.S.,2008-1102,2008-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/08-1102.pdf,14,7
"KOYO SEIKO, CO. V. U.S.",2007-1556,2008-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-1556.pdf,14,7
"AVOCENT HUNTSVILLE CORP. V. ATEN INTERNATIONAL CO., LTD.",2007-1553,2008-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-1553.pdf,49,25
WELKER BEARING CO. V. PHD INC.,2008-1169,2008-12-15,completed,,https://cafc.uscourts.gov/opinions-orders/08-1169.pdf,16,8
WELSHANS V. U.S. POSTAL SERVICE,2008-3088,2008-12-15,completed,,https://cafc.uscourts.gov/opinions-orders/08-3088.pdf,9,5
SANOFI SYNTHELABO V. APOTEX INC.,2007-1438,2008-12-12,completed,,https://cafc.uscourts.gov/opinions-orders/07-1438.pdf,26,13
"ILOR, LLC V. GOOGLE, INC.",2008-1178,2008-12-11,completed,,https://cafc.uscourts.gov/opinions-orders/08-1178.pdf,14,7
"NETCRAFT CORP. V. EBAY, INC.",2008-1263,2008-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/08-1263.pdf,16,8
TAKEDA CHEMICAL INDUSTRIES LTD. V. MYLAN LABORATORIES INC.,2007-1269,2008-12-08,completed,,https://cafc.uscourts.gov/opinions-orders/07-1269.pdf,23,12
"THE PROCTER AND GAMBLE CO. V. KRAFT FOODS GLOBAL, INC.",2008-1105,2008-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/08-1105.pdf,13,7
MITTAL STEEL POINT LISAS LTD. V. U.S.,2008-1040,2008-12-03,completed,,https://cafc.uscourts.gov/opinions-orders/08-1040.pdf,16,8
BROADCOM CORP. V. QUALCOMM,2008-1199,2008-11-14,completed,,https://cafc.uscourts.gov/opinions-orders/08-1199e_11142008.pdf,1,1
U.S. V. NATIONAL SEMICONDUCTOR CORP.,2008-1195,2008-11-13,completed,,https://cafc.uscourts.gov/opinions-orders/08-1195.pdf,12,6
IN RE BASELL POLIOLEFINE ITALIA S.P.A.,2007-1450,2008-11-13,completed,,https://cafc.uscourts.gov/opinions-orders/07-1450.pdf,21,11
ROTHE DEVELOPMENT CORP. V. DEPT. OF DEFENSE,2008-1017,2008-11-04,completed,,https://cafc.uscourts.gov/opinions-orders/08-1017.pdf,48,24
IN RE DBC,2008-1120,2008-11-03,completed,,https://cafc.uscourts.gov/opinions-orders/08-1120.pdf,20,10
HOGAN V. PEAKE [CORRECTED],2007-7177,2008-10-31,completed,,https://www.cafc.uscourts.gov/opinions-orders/08-7112.pdf,16,8
DEAN V. CONSUMER PRODUCT SAFETY COMMISSION,2008-3142,2008-10-31,completed,,https://cafc.uscourts.gov/opinions-orders/08-3142.pdf,9,5
IN RE BILSKI,2007-1130,2008-10-30,completed,,https://cafc.uscourts.gov/opinions-orders/07-1130.pdf,132,66
IN RE ALONSO,2008-1079,2008-10-30,completed,,https://cafc.uscourts.gov/opinions-orders/08-1079.pdf,12,6
ABBOTT LABORATORIES V. SANDOZ,2007-1300,2008-10-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-1300.pdf,76,38
CASITAS MUNICIPAL WATER DISTRICT V. U.S. [ERRATA],2007-5153,2008-10-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-5153e_10212008.pdf,1,1
"NET MONEYIN INC. V. VERISIGN, INC.",2007-1565,2008-10-20,completed,,https://cafc.uscourts.gov/opinions-orders/07-1565.pdf,23,12
MINKS V. POLARIS INDUSTRIES,2007-1490,2008-10-17,completed,,https://cafc.uscourts.gov/opinions-orders/07-1490.pdf,29,15
COHESIVE TECH. INC. V. WATERS CORP.,2008-1029,2008-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/08-1029e.pdf,1,1
IN RE CIPROFLOXACIN HYDROCHLORIDE ANTITRUST LITIGATION,2008-1097,2008-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/08-1097.pdf,31,16
KYOCERA WIRELESS CORP. V. INTERNATIONAL TRADE COMMISSION,2007-1493,2008-10-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1493.pdf,36,18
ASYST TECHNOLOGIES V. EMTRAK,2007-1554,2008-10-10,completed,,https://cafc.uscourts.gov/opinions-orders/07-1554.pdf,13,7
LAMOUR V. PEAKE,2007-7278,2008-10-10,completed,,https://cafc.uscourts.gov/opinions-orders/07-7278.pdf,10,5
HAAS V. PEAKE [PETITION FOR REHEARING],2007-7037,2008-10-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-7037P_10092008.pdf,7,4
"PREDICATE LOGIC, INC. V. DISTRIBUTIVE SOFTWARE INC.",2007-1539,2008-10-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-1539.pdf,14,7
HARTFORD FIRE INSURANCE CO. V. U.S.,2008-1071,2008-10-08,completed,,https://cafc.uscourts.gov/opinions-orders/08-1071.pdf,11,6
DRAKE V. AGENCY FOR INTERNATIONAL DEVELOPMENT,2008-3048,2008-10-07,completed,,https://cafc.uscourts.gov/opinions-orders/08-3048.pdf,10,5
IMPAX LABORATORIES INC. V. AVENTIS PHARMACEUTICALS INC.,2007-1513,2008-10-03,completed,,https://cafc.uscourts.gov/opinions-orders/07-1513.pdf,8,4
THE JOHN HOPKINS UNIVERSITY V. DATASCOPE CORP.,2007-1530,2008-10-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-1530.pdf,18,9
WHITE V. U.S.,2007-5126,2008-10-01,completed,,https://cafc.uscourts.gov/opinions-orders/07-5126.pdf,21,11
PRAXAIR V. ATMI,2007-1483,2008-09-29,completed,,https://cafc.uscourts.gov/opinions-orders/07-1483.pdf,44,22
CONLEY V. PEAKE,2007-7049,2008-09-29,completed,,https://cafc.uscourts.gov/opinions-orders/07-7049.pdf,8,4
AMBER RESOURCES CO. V. U.S. [REVISED],2007-5047,2008-09-25,completed,,https://cafc.uscourts.gov/opinions-orders/07-5047r.pdf,41,21
LUCENT TECH. INC. V. GATEWAY,2007-1546,2008-09-25,completed,,https://cafc.uscourts.gov/opinions-orders/07-1546.pdf,25,13
GREENSTREET V. SOCIAL SECURITY ADMIN.,2007-3312,2008-09-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-3312.pdf,10,5
ARISTOCRAT TECHNOLOGIES AUSTRALIA PTY LTD. V. INTERNATIONAL GAME TECH.,2008-1016,2008-09-22,completed,,https://cafc.uscourts.gov/opinions-orders/08-1016.pdf,14,7
EGYPTIAN GODDESS V. SWISA INC.,2006-1562,2008-09-22,completed,,https://cafc.uscourts.gov/opinions-orders/06-1562.pdf,33,17
BROADCOM CORP. V. INTERNATIONAL TRADE COMMISSION,2007-1164,2008-09-19,completed,,https://cafc.uscourts.gov/opinions-orders/07-1164.pdf,25,13
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORG. V. BUFFALO TECH.,2007-1449,2008-09-19,completed,,https://cafc.uscourts.gov/opinions-orders/07-1449.pdf,40,20
THE CAMPBELL PET CO. V. MIALE,2008-1109,2008-09-18,completed,,https://cafc.uscourts.gov/opinions-orders/08-1109.pdf,18,9
DELMARVA POWER & LIGHT CO. V. U.S.,2008-5010,2008-09-18,completed,,https://cafc.uscourts.gov/opinions-orders/08-5010.pdf,10,5
MITTAL STEEL POINT LISAS LTD. V. U.S.,2007-1552,2008-09-18,completed,,https://cafc.uscourts.gov/opinions-orders/07-1552.pdf,23,12
EXCELSTOR TECH. INC. V. PAPST LICENSING GMBH & CO. KG,2008-1140,2008-09-16,completed,,https://cafc.uscourts.gov/opinions-orders/08-1140.pdf,7,4
ELLINGTON V. PEAKE,2008-7012,2008-09-16,completed,,https://cafc.uscourts.gov/opinions-orders/08-7012.pdf,18,9
DUNCAN V. OFFICE OF COMPLIANCE,2007-6001,2008-09-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-6001.pdf,13,7
MEDICAL SOLUTIONS V. C. CHANGE SURGICAL,2007-1163,2008-09-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-1163.pdf,11,6
"DRYGEL, INC. V. U.S.",2008-1101,2008-09-09,completed,,https://cafc.uscourts.gov/opinions-orders/08-1101.pdf,13,7
CARNEGIE MELLON UNIVERSITY V. HOFFMANN LA-ROCHE,2007-1267,2008-09-08,completed,,https://cafc.uscourts.gov/opinions-orders/07-1266.pdf,25,13
"JANSSEN PHARMACEUTICA, N.V. V. APOTEX",2008-1062,2008-09-04,completed,,https://cafc.uscourts.gov/opinions-orders/08-1062.pdf,18,9
SMITH V. U.S. POSTAL SERVICE,2007-3238,2008-09-04,completed,,https://cafc.uscourts.gov/opinions-orders/07-3238.pdf,9,5
IN RE SWANSON,2007-1534,2008-09-04,completed,,https://cafc.uscourts.gov/opinions-orders/07-1534.pdf,25,13
CAPELLAN V. PEAKE,2007-7236,2008-09-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-7236.pdf,20,10
HOWMEDIA OSTEONICS CORP. V. WRIGHT MED. TECH. INC.,2007-1363,2008-09-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-1363.pdf,29,15
"800 ADEPT, INC. V. MUREX SECURITIES, LTD.",2007-1272,2008-08-29,completed,,https://cafc.uscourts.gov/opinions-orders/07-1272.pdf,33,17
BAZAN V. SEC. OF HEALTH AND HUMAN SERVICES,2008-5013,2008-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/08-5013.pdf,11,6
DISTRIBUTED SOLUTIONS INC. V. U.S.,2007-5145,2008-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-5145.pdf,12,6
"SKF USA, INC V. U.S.",2007-1502,2008-08-25,completed,,https://cafc.uscourts.gov/opinions-orders/07-1502.pdf,16,8
STAR SCIENTIFIC V. R.J. REYNOLDS TOBACCO CO.,2007-1448,2008-08-25,completed,,https://cafc.uscourts.gov/opinions-orders/07-1448.pdf,27,14
"VOLKSWAGON OF AMERICA, INC V. U.S.",2007-1518,2008-08-22,completed,,https://cafc.uscourts.gov/opinions-orders/07-1518.pdf,23,12
LEGGETT & PLATT V. VUTEK,2007-1515,2008-08-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-1515.pdf,14,7
PRASCO V. MEDICUS PHARMACEUTICAL CORP.,2007-1524,2008-08-20,completed,,https://cafc.uscourts.gov/opinions-orders/07-1524e.pdf,1,1
IN RE OMEPRAZOLE PATENT LITIGATION,2007-1414,2008-08-20,completed,,https://cafc.uscourts.gov/opinions-orders/07-1414.pdf,37,19
DSW INC. V. SHOE PAVILION,2008-1085,2008-08-19,completed,,https://cafc.uscourts.gov/opinions-orders/08-1085.pdf,12,6
"IN RE CYGNUS TELECOMMUINCATIONS TECH., LLC.",2007-1328,2008-08-19,completed,,https://cafc.uscourts.gov/opinions-orders/07-1328.pdf,32,16
COOPER TECHNOLOGIES CO. V. DIRECTOR U.S. PATENT AND TRADEMARK OFFICE,2008-1130,2008-08-19,completed,,https://cafc.uscourts.gov/opinions-orders/08-1130.pdf,25,13
VODA V. CORDIS CORP.,2007-1297,2008-08-18,completed,,https://cafc.uscourts.gov/opinions-orders/07-1297.pdf,30,15
AG V. PEAKE,2007-7217,2008-08-15,completed,,https://cafc.uscourts.gov/opinions-orders/07-7217.pdf,10,5
GHS HEALTH MAINTENANCE ORG. V. U.S.,2007-5143,2008-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/07-5143.pdf,23,12
JACOBSEN V. KATZER,2008-1001,2008-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/08-1001.pdf,16,8
WILLSEY V. PEAKE,2007-7095,2008-08-11,completed,,https://cafc.uscourts.gov/opinions-orders/07-7095.pdf,10,5
PACIFIC GAS AND ELECTRIC CO. V. U.S.,2007-5046,2008-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-5046.pdf,20,10
SUESS V. U.S.,2007-5070,2008-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-5070.pdf,38,19
YANKEE ATOMIC ELECTRIC CO. V. U.S.,2007-5025,2008-08-07,completed,,https://www.cafc.uscourts.gov/opinions-orders/10-5123.pdf,15,8
PROVERIS SCIENTIFIC CORP. V. INNOVASYSTEMS INC.,2007-1428,2008-08-05,completed,,https://cafc.uscourts.gov/opinions-orders/07-1428.pdf,22,11
NORTHROP GRUMMAN INFO TECH. INC. V. U.S.,2008-5003,2008-08-05,completed,,https://cafc.uscourts.gov/opinions-orders/08-5003.pdf,16,8
RESEARCH CORP. TECHNOLOGIES INC. V. MICROSOFT CORP.,2006-1275,2008-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/06-1275.pdf,15,8
YINGBIN NATURE WOOD IND. CO. V. INTERNATIONAL TRADE COMMISSION,2007-1311,2008-07-31,completed,,https://cafc.uscourts.gov/opinions-orders/07-1311.pdf,30,15
BLUEPORT CO. V. U.S.,2007-5140,2008-07-25,completed,,https://cafc.uscourts.gov/opinions-orders/07-5140.pdf,17,9
BOARD OF REGENTS OF THE UNIV. OF TEXAS SYSTEM V. BENQ AMERICA CORP.,2007-1388,2008-07-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-1388.pdf,21,11
"EISAI CO. LTD. V. DR. REDDY'S LABORATORIES, INC.",2007-1397,2008-07-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-1397.pdf,16,8
"SERDAREVIC V. ADVANCED MEDICAL OPTICS, INC.",2008-1075,2008-07-16,completed,,https://cafc.uscourts.gov/opinions-orders/08-1075.pdf,19,10
"VOLKSWAGON OF AMERICA, INC. V. U.S.",2007-1285,2008-07-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-1285.pdf,20,10
LIZZIO V. DEPT. OF THE ARMY,2007-3224,2008-07-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-3224.pdf,21,10
JANG V. BOSTON SCIENTIFIC CORP.,2007-1385,2008-07-15,completed,,https://cafc.uscourts.gov/opinions-orders/07-1385.pdf,15,8
SALMON SPAWNING & RECOVERY ALLIANCE V. U.S. CUSTOMS AND BORDERS PROTECTION,2007-1444,2008-07-15,completed,,https://cafc.uscourts.gov/opinions-orders/07-1444_07152008.pdf,22,11
"MUNIAUCTION, INC. V. THOMSON CORP.",2007-1485,2008-07-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1485.pdf,20,10
ROCHE PALO ALTO LLC V. APOTEX INC.,2008-1021,2008-07-09,completed,,https://cafc.uscourts.gov/opinions-orders/08-1021.pdf,16,8
INTERNATIONAL TECH. CORP. V. SECRETARY OF THE NAVY,2007-1276,2008-07-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-1276e.pdf,1,1
DECKERS CORP. V. U.S.,2008-1011,2008-07-02,completed,,https://cafc.uscourts.gov/opinions-orders/08-1011.pdf,13,7
IMPRESA CONSTRUZIONI GEOM. DOMENICO GARUFI V. U.S.,2007-5009,2008-06-27,completed,,https://cafc.uscourts.gov/opinions-orders/07-5009.pdf,11,6
YOUNG V. U.S. [SECOND CORRECTION],2008-5007,2008-06-25,completed,,https://cafc.uscourts.gov/opinions-orders/08-5007c.pdf,8,4
NILSSEN V. OSRAM,2007-1198,2008-06-19,completed,,https://cafc.uscourts.gov/opinions-orders/07-1198e.pdf,1,1
SCANNER TECH. CORP. V. ICOS VISION SYSTEMS CORP. N.V.,2008-1081,2008-06-19,completed,,https://www.cafc.uscourts.gov/opinions-orders/11-1576.pdf,27,14
TIP SYSTEMS V. PHILLIPS & BROOKS/GLADWIN,2007-1241,2008-06-18,completed,,https://cafc.uscourts.gov/opinions-orders/07-1241.pdf,28,14
TOKYO KIKAI SEISAKUSHO V. U.S.,2007-1226,2008-06-17,completed,,https://cafc.uscourts.gov/opinions-orders/07-1226.pdf,19,10
LEIGHTON V. OPM,2008-3144,2008-06-17,completed,,https://storage.courtlistener.com/pdf/2008/06/17/Leighton_v._Opm.pdf,0,5
INNOVATION TECHNOLOGIES V. SPLASH! MEDICAL DEVICES,2007-1424,2008-06-16,completed,,https://cafc.uscourts.gov/opinions-orders/07-1424.pdf,7,4
"CONSOLIDATION COAL, ET AL. V. U.S.",2007-5108,2008-06-11,completed,,https://cafc.uscourts.gov/opinions-orders/07-5108.pdf,8,4
KAHN V. DEPT. OF JUSTICE,2007-3216,2008-06-11,completed,,https://cafc.uscourts.gov/opinions-orders/07-3216.pdf,14,7
"BURANDT V. DIRECTOR, USPTO",2007-1504,2008-06-10,completed,,https://cafc.uscourts.gov/opinions-orders/07-1504.pdf,13,7
GURLEY V. PEAKE,2007-7148,2008-06-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-7148.pdf,11,6
GALLO V. U.S.,2007-5148,2008-06-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-5148.pdf,14,7
HELMSDERFER V. BOBRICK WASHROOM EQUIPMENT,2008-1027,2008-06-04,completed,,https://cafc.uscourts.gov/opinions-orders/08-1027.pdf,9,5
GENERAL INJECTABLES & VACCINES V. SEC. OF DEFENSE,2007-1119,2008-06-03,completed,,https://cafc.uscourts.gov/opinions-orders/07-1119r.pdf,9,5
ROMERO V. DEPT. OF DEFENSE,2007-3322,2008-06-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-3322.pdf,11,6
MARS V. COIN ACCEPTORS,2007-1409,2008-06-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-1409.pdf,26,13
METRO. LIFE INS. CO. V. BANCORP SERVICES,2007-1312,2008-06-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-1312.pdf,16,8
CAT TECH. LLC. V. TUBEMASTER,2007-1443,2008-05-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-1443.pdf,25,13
WESTERN SHOSHONE NATIONAL COUNCIL V. U.S.,2007-5020,2008-05-22,completed,,https://cafc.uscourts.gov/opinions-orders/07-5020.pdf,17,9
GOLDEN BRIDGE TECH. V. NOKIA,2007-1215,2008-05-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-1215.pdf,10,5
1-10 IND. ASSOC. LLC V. U.S.,2007-5124,2008-05-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-5124.pdf,22,11
HUNTLEIGH USA CORP. V. U.S.,2007-5118,2008-05-15,completed,,https://cafc.uscourts.gov/opinions-orders/07-5118.pdf,24,12
MANGOSOFT V. ORACLE,2007-1250,2008-05-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1250.pdf,13,7
AVENTIS PHARMA V. AMPHASTAR PHARMACEUTICALS,2007-1280,2008-05-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1280.pdf,35,18
SPRINGER V. ADKINS,2007-3180,2008-05-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-3180.pdf,14,7
E.I. DU PONT DE NEMOURS V. MACDERMID PRINTING SOLUTIONS,2007-1568,2008-05-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1568.pdf,19,10
ACUMED V. STRYKER,2007-1115,2008-05-13,completed,,https://cafc.uscourts.gov/opinions-orders/07-1115.pdf,12,6
MANSFIELD V. PEAKE,2007-7282,2008-05-12,completed,,https://cafc.uscourts.gov/opinions-orders/07-7282.pdf,14,7
LUCENT TECH. V. GATEWAY,2007-1334,2008-05-08,completed,,https://cafc.uscourts.gov/opinions-orders/07-1334.pdf,40,20
SOLOMON TECH. V. INTERNATIONAL TRADE COMMISSION,2007-1391,2008-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-1391.pdf,18,9
ATAMIRZAYEVA V. U.S.,2007-5159,2008-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-5159.pdf,17,9
DECISIONING.COM V. FEDERATED DEPT. STORES,2007-1277,2008-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-1277.pdf,37,19
"PSN ILLINOIS LLC. V. IVOCLAR VIVADENT, INC.",2007-1512,2008-05-06,completed,,https://cafc.uscourts.gov/opinions-orders/07-1512.pdf,15,8
MORAN V. PEAKE,2007-7163,2008-05-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-7163.pdf,5,3
AMERISOURCE CORP. V. U.S.,2007-5121,2008-05-01,completed,,https://cafc.uscourts.gov/opinions-orders/07-5121.pdf,16,8
GROVES V. PEAKE,2007-7241,2008-05-01,completed,,https://cafc.uscourts.gov/opinions-orders/07-7241.pdf,8,4
SAMSUNG ELECTRONICS CO. V. RAMBUS INC.,2006-1579,2008-04-29,completed,,https://cafc.uscourts.gov/opinions-orders/06-1579.pdf,11,6
LEATHERBURY V. DEPT. OF THE ARMY,2007-3261,2008-04-29,completed,,https://cafc.uscourts.gov/opinions-orders/07-3261.pdf,22,11
LITECUBES LLC. V. NORTHERN LIGHT PRODUCT INC.,2006-1646,2008-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/06-1646.pdf,35,18
AIRFLOW TECH. V. U.S.,2007-1384,2008-04-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-1384.pdf,12,6
SHINYEI CORP. OF AMERICA V. U.S.,2007-1291,2008-04-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-1291.pdf,24,12
PHILLIPS/MAY CORP. V. U.S.,2007-5139,2008-04-23,completed,,https://cafc.uscourts.gov/opinions-orders/07-5139.pdf,17,9
DOMINANT SEMICONDUCTORS SDN. V. OSRAM GMBH,2007-1456,2008-04-23,completed,,https://cafc.uscourts.gov/opinions-orders/07-1456.pdf,18,9
DATATREASURY CORP. V. WELLS FARGO,2007-1317,2008-04-22,completed,,https://www.cafc.uscourts.gov/opinions-orders/07-1317.pdf,10,5
HONEYWELL INTERNATIONAL INC. V. HAMILTON SUNDSTRAND CORP.,2006-1602,2008-04-18,completed,,https://cafc.uscourts.gov/opinions-orders/06-1602.pdf,34,17
FINISAR CORP. V. THE DIRECTV GROUP,2007-1023,2008-04-18,completed,,https://cafc.uscourts.gov/opinions-orders/07-1023.pdf,32,16
PERKINS V. OFFICE OF SPECIAL COUNSEL,2007-3125,2008-04-17,completed,,https://cafc.uscourts.gov/opinions-orders/07-3125.pdf,15,8
ZENITH ELECTRONICS CORP. V. PDI COMMUNICATIONS SYSTEMS INC.,2007-1321,2008-04-16,completed,,https://www.cafc.uscourts.gov/opinions-orders/09-1086.pdf,29,15
"USA CHOICE INTERNET SERVICES, LLC V. US",2007-5077,2008-04-15,completed,,https://cafc.uscourts.gov/opinions-orders/07-5077.pdf,30,15
"JAN'S HELICOPTER SERVICE, INC. V. FDA",2007-1410,2008-04-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1410.pdf,23,12
NASALOK COATING CORP. V. NYLOK CORP.,2007-1432,2008-04-14,completed,,https://cafc.uscourts.gov/opinions-orders/07-1432.pdf,22,11
SYMANTEC CORP. V. COMPUTER ASSOCIATES INTERNATIONAL INC.,2007-1239,2008-04-11,completed,,https://www.cafc.uscourts.gov/opinions-orders/12-1022.pdf,22,11
POWEROASIS INC. V. T-MOBILE USA INC.,2007-1265,2008-04-11,completed,,https://cafc.uscourts.gov/opinions-orders/07-1265.pdf,20,10
RICE V. MERIT SYSTEMS PROTECTION BOARD,2007-3200,2008-04-11,completed,,https://cafc.uscourts.gov/opinions-orders/07-3200.pdf,17,9
CARLSEN V. U.S.,2007-5011,2008-04-09,completed,,https://cafc.uscourts.gov/opinions-orders/07-5011.pdf,18,9
JUDKINS V. HT WINDOW FASHION CORP.,2007-1434,2008-04-08,completed,,https://cafc.uscourts.gov/opinions-orders/07-1434.pdf,19,10
"NUFARM AMERICA'S, INC. V. U.S.",2007-1220,2008-04-07,completed,,https://cafc.uscourts.gov/opinions-orders/07-1220.pdf,9,5
MONSANTO V. BAYER BIOSCIENCE,2007-1109,2008-04-04,completed,,https://www.cafc.uscourts.gov/opinions-orders/07-1299.pdf,5,3
O2 MICRO INTERNATIONAL LIMITED V. BEYOND INNOVATION TECH.,2007-1302,2008-04-03,completed,,https://cafc.uscourts.gov/opinions-orders/07-1302.pdf,25,13
WILLAIMS V. PEAKE,2007-7196,2008-04-03,completed,,https://www.cafc.uscourts.gov/opinions-orders/07-7196-errata.pdf,1,1
RICK'S MUSHROOM SERVICE INC. V. U.S.,2007-5137,2008-04-02,completed,,https://cafc.uscourts.gov/opinions-orders/07-5137.pdf,16,8
CARACO PHARMACEUTICAL LABORATORIES V. FOREST LABORATORIES INC.,2007-1404,2008-04-01,completed,,https://cafc.uscourts.gov/opinions-orders/07-1404.pdf,37,19
MICROPROCESSOR ENHANCEMENT CORP. V. TEXAS INSTRUMENTS INC.,2007-1249,2008-04-01,completed,,https://cafc.uscourts.gov/opinions-orders/07-1249.pdf,25,13
ORTHO-MCNEIL PHARMACEUTICAL INC. V. MYLAN LABORATORIES INC.,2007-1223,2008-03-31,completed,,https://cafc.uscourts.gov/opinions-orders/07-1223.pdf,16,8
AKIRA AKAZAWA V. LINK NEW TECHNOLOGY INTERNATIONAL INC.,2007-1184,2008-03-31,completed,,https://cafc.uscourts.gov/opinions-orders/07-1184.pdf,9,5
AGRIZAP V. WOODSTREAM,2007-1415,2008-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-1415.pdf,13,7
ARISTOCRAT TECH. AUSTRALIA PTY LIMITED V. INTERNATIONAL GAME TECH.,2007-1419,2008-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-1419.pdf,18,9
WOOD V. PEAKE,2007-7174,2008-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/07-7174.pdf,18,9
BOGGS V. PEAKE,2007-7137,2008-03-26,completed,,https://cafc.uscourts.gov/opinions-orders/07-7137.pdf,13,7
AGFA CORP. V. U.S.,2007-1430,2008-03-24,completed,,https://cafc.uscourts.gov/opinions-orders/07-1430.pdf,9,5
"COMPUTER DOCKING STATION CORP. V. DELL, INC.",2007-1169,2008-03-21,completed,,https://cafc.uscourts.gov/opinions-orders/07-1169.pdf,22,11
FUJI AMERICA CORP. V. U. S.,2006-1653,2008-03-19,completed,,https://www.cafc.uscourts.gov/opinions-orders/06-1653.pdf,11,6
GERDAU AMERISTEEL CORP. V. U.S.,2007-1143,2008-03-12,completed,,https://cafc.uscourts.gov/opinions-orders/07-1143.pdf,13,7
PARROTT V. MERIT SYSTEMS PROTECTION BOARD,2007-3119,2008-03-12,completed,,https://cafc.uscourts.gov/opinions-orders/07-3119.pdf,13,7
ERICO INTL V. VUTEC CORP.,2007-1168,2008-03-10,completed,,https://www.cafc.uscourts.gov/opinions-orders/07-1300.pdf,76,38
FIFTH THIRD BANK V. U.S.,2006-5128,2008-03-10,completed,,https://cafc.uscourts.gov/opinions-orders/06-5128.pdf,24,12
